"ID","Tagged objects"
"chisel:concrete/light_gray","chisel:concrete/light_gray/cracked, chisel:concrete/light_gray/solid_bricks, chisel:concrete/light_gray/small_bricks, chisel:concrete/light_gray/soft_bricks, chisel:concrete/light_gray/cracked_bricks, chisel:concrete/light_gray/triple_bricks, chisel:concrete/light_gray/encased_bricks, chisel:concrete/light_gray/chaotic_bricks, chisel:concrete/light_gray/array, chisel:concrete/light_gray/tiles_medium, chisel:concrete/light_gray/tiles_large, chisel:concrete/light_gray/tiles_small, chisel:concrete/light_gray/chaotic_medium, chisel:concrete/light_gray/chaotic_small, chisel:concrete/light_gray/braid, chisel:concrete/light_gray/dent, chisel:concrete/light_gray/french_1, chisel:concrete/light_gray/french_2, chisel:concrete/light_gray/jellybean, chisel:concrete/light_gray/layers, chisel:concrete/light_gray/mosaic, chisel:concrete/light_gray/ornate, chisel:concrete/light_gray/panel, chisel:concrete/light_gray/road, chisel:concrete/light_gray/slanted, chisel:concrete/light_gray/zag, chisel:concrete/light_gray/circular, chisel:concrete/light_gray/circularct, chisel:concrete/light_gray/weaver, chisel:concrete/light_gray/pillar, chisel:concrete/light_gray/twisted, chisel:concrete/light_gray/prism, chisel:concrete/light_gray/cuts, minecraft:light_gray_concrete"
"chisel:concrete/lime","chisel:concrete/lime/cracked, chisel:concrete/lime/solid_bricks, chisel:concrete/lime/small_bricks, chisel:concrete/lime/soft_bricks, chisel:concrete/lime/cracked_bricks, chisel:concrete/lime/triple_bricks, chisel:concrete/lime/encased_bricks, chisel:concrete/lime/chaotic_bricks, chisel:concrete/lime/array, chisel:concrete/lime/tiles_medium, chisel:concrete/lime/tiles_large, chisel:concrete/lime/tiles_small, chisel:concrete/lime/chaotic_medium, chisel:concrete/lime/chaotic_small, chisel:concrete/lime/braid, chisel:concrete/lime/dent, chisel:concrete/lime/french_1, chisel:concrete/lime/french_2, chisel:concrete/lime/jellybean, chisel:concrete/lime/layers, chisel:concrete/lime/mosaic, chisel:concrete/lime/ornate, chisel:concrete/lime/panel, chisel:concrete/lime/road, chisel:concrete/lime/slanted, chisel:concrete/lime/zag, chisel:concrete/lime/circular, chisel:concrete/lime/circularct, chisel:concrete/lime/weaver, chisel:concrete/lime/pillar, chisel:concrete/lime/twisted, chisel:concrete/lime/prism, chisel:concrete/lime/cuts, minecraft:lime_concrete"
"chisel:concrete/magenta","chisel:concrete/magenta/cracked, chisel:concrete/magenta/solid_bricks, chisel:concrete/magenta/small_bricks, chisel:concrete/magenta/soft_bricks, chisel:concrete/magenta/cracked_bricks, chisel:concrete/magenta/triple_bricks, chisel:concrete/magenta/encased_bricks, chisel:concrete/magenta/chaotic_bricks, chisel:concrete/magenta/array, chisel:concrete/magenta/tiles_medium, chisel:concrete/magenta/tiles_large, chisel:concrete/magenta/tiles_small, chisel:concrete/magenta/chaotic_medium, chisel:concrete/magenta/chaotic_small, chisel:concrete/magenta/braid, chisel:concrete/magenta/dent, chisel:concrete/magenta/french_1, chisel:concrete/magenta/french_2, chisel:concrete/magenta/jellybean, chisel:concrete/magenta/layers, chisel:concrete/magenta/mosaic, chisel:concrete/magenta/ornate, chisel:concrete/magenta/panel, chisel:concrete/magenta/road, chisel:concrete/magenta/slanted, chisel:concrete/magenta/zag, chisel:concrete/magenta/circular, chisel:concrete/magenta/circularct, chisel:concrete/magenta/weaver, chisel:concrete/magenta/pillar, chisel:concrete/magenta/twisted, chisel:concrete/magenta/prism, chisel:concrete/magenta/cuts, minecraft:magenta_concrete"
"chisel:concrete/orange","chisel:concrete/orange/cracked, chisel:concrete/orange/solid_bricks, chisel:concrete/orange/small_bricks, chisel:concrete/orange/soft_bricks, chisel:concrete/orange/cracked_bricks, chisel:concrete/orange/triple_bricks, chisel:concrete/orange/encased_bricks, chisel:concrete/orange/chaotic_bricks, chisel:concrete/orange/array, chisel:concrete/orange/tiles_medium, chisel:concrete/orange/tiles_large, chisel:concrete/orange/tiles_small, chisel:concrete/orange/chaotic_medium, chisel:concrete/orange/chaotic_small, chisel:concrete/orange/braid, chisel:concrete/orange/dent, chisel:concrete/orange/french_1, chisel:concrete/orange/french_2, chisel:concrete/orange/jellybean, chisel:concrete/orange/layers, chisel:concrete/orange/mosaic, chisel:concrete/orange/ornate, chisel:concrete/orange/panel, chisel:concrete/orange/road, chisel:concrete/orange/slanted, chisel:concrete/orange/zag, chisel:concrete/orange/circular, chisel:concrete/orange/circularct, chisel:concrete/orange/weaver, chisel:concrete/orange/pillar, chisel:concrete/orange/twisted, chisel:concrete/orange/prism, chisel:concrete/orange/cuts, minecraft:orange_concrete"
"chisel:concrete/pink","chisel:concrete/pink/cracked, chisel:concrete/pink/solid_bricks, chisel:concrete/pink/small_bricks, chisel:concrete/pink/soft_bricks, chisel:concrete/pink/cracked_bricks, chisel:concrete/pink/triple_bricks, chisel:concrete/pink/encased_bricks, chisel:concrete/pink/chaotic_bricks, chisel:concrete/pink/array, chisel:concrete/pink/tiles_medium, chisel:concrete/pink/tiles_large, chisel:concrete/pink/tiles_small, chisel:concrete/pink/chaotic_medium, chisel:concrete/pink/chaotic_small, chisel:concrete/pink/braid, chisel:concrete/pink/dent, chisel:concrete/pink/french_1, chisel:concrete/pink/french_2, chisel:concrete/pink/jellybean, chisel:concrete/pink/layers, chisel:concrete/pink/mosaic, chisel:concrete/pink/ornate, chisel:concrete/pink/panel, chisel:concrete/pink/road, chisel:concrete/pink/slanted, chisel:concrete/pink/zag, chisel:concrete/pink/circular, chisel:concrete/pink/circularct, chisel:concrete/pink/weaver, chisel:concrete/pink/pillar, chisel:concrete/pink/twisted, chisel:concrete/pink/prism, chisel:concrete/pink/cuts, minecraft:pink_concrete"
"chisel:concrete/purple","chisel:concrete/purple/cracked, chisel:concrete/purple/solid_bricks, chisel:concrete/purple/small_bricks, chisel:concrete/purple/soft_bricks, chisel:concrete/purple/cracked_bricks, chisel:concrete/purple/triple_bricks, chisel:concrete/purple/encased_bricks, chisel:concrete/purple/chaotic_bricks, chisel:concrete/purple/array, chisel:concrete/purple/tiles_medium, chisel:concrete/purple/tiles_large, chisel:concrete/purple/tiles_small, chisel:concrete/purple/chaotic_medium, chisel:concrete/purple/chaotic_small, chisel:concrete/purple/braid, chisel:concrete/purple/dent, chisel:concrete/purple/french_1, chisel:concrete/purple/french_2, chisel:concrete/purple/jellybean, chisel:concrete/purple/layers, chisel:concrete/purple/mosaic, chisel:concrete/purple/ornate, chisel:concrete/purple/panel, chisel:concrete/purple/road, chisel:concrete/purple/slanted, chisel:concrete/purple/zag, chisel:concrete/purple/circular, chisel:concrete/purple/circularct, chisel:concrete/purple/weaver, chisel:concrete/purple/pillar, chisel:concrete/purple/twisted, chisel:concrete/purple/prism, chisel:concrete/purple/cuts, minecraft:purple_concrete"
"chisel:concrete/red","chisel:concrete/red/cracked, chisel:concrete/red/solid_bricks, chisel:concrete/red/small_bricks, chisel:concrete/red/soft_bricks, chisel:concrete/red/cracked_bricks, chisel:concrete/red/triple_bricks, chisel:concrete/red/encased_bricks, chisel:concrete/red/chaotic_bricks, chisel:concrete/red/array, chisel:concrete/red/tiles_medium, chisel:concrete/red/tiles_large, chisel:concrete/red/tiles_small, chisel:concrete/red/chaotic_medium, chisel:concrete/red/chaotic_small, chisel:concrete/red/braid, chisel:concrete/red/dent, chisel:concrete/red/french_1, chisel:concrete/red/french_2, chisel:concrete/red/jellybean, chisel:concrete/red/layers, chisel:concrete/red/mosaic, chisel:concrete/red/ornate, chisel:concrete/red/panel, chisel:concrete/red/road, chisel:concrete/red/slanted, chisel:concrete/red/zag, chisel:concrete/red/circular, chisel:concrete/red/circularct, chisel:concrete/red/weaver, chisel:concrete/red/pillar, chisel:concrete/red/twisted, chisel:concrete/red/prism, chisel:concrete/red/cuts, minecraft:red_concrete"
"chisel:concrete/white","chisel:concrete/white/cracked, chisel:concrete/white/solid_bricks, chisel:concrete/white/small_bricks, chisel:concrete/white/soft_bricks, chisel:concrete/white/cracked_bricks, chisel:concrete/white/triple_bricks, chisel:concrete/white/encased_bricks, chisel:concrete/white/chaotic_bricks, chisel:concrete/white/array, chisel:concrete/white/tiles_medium, chisel:concrete/white/tiles_large, chisel:concrete/white/tiles_small, chisel:concrete/white/chaotic_medium, chisel:concrete/white/chaotic_small, chisel:concrete/white/braid, chisel:concrete/white/dent, chisel:concrete/white/french_1, chisel:concrete/white/french_2, chisel:concrete/white/jellybean, chisel:concrete/white/layers, chisel:concrete/white/mosaic, chisel:concrete/white/ornate, chisel:concrete/white/panel, chisel:concrete/white/road, chisel:concrete/white/slanted, chisel:concrete/white/zag, chisel:concrete/white/circular, chisel:concrete/white/circularct, chisel:concrete/white/weaver, chisel:concrete/white/pillar, chisel:concrete/white/twisted, chisel:concrete/white/prism, chisel:concrete/white/cuts, minecraft:white_concrete"
"chisel:concrete/yellow","chisel:concrete/yellow/cracked, chisel:concrete/yellow/solid_bricks, chisel:concrete/yellow/small_bricks, chisel:concrete/yellow/soft_bricks, chisel:concrete/yellow/cracked_bricks, chisel:concrete/yellow/triple_bricks, chisel:concrete/yellow/encased_bricks, chisel:concrete/yellow/chaotic_bricks, chisel:concrete/yellow/array, chisel:concrete/yellow/tiles_medium, chisel:concrete/yellow/tiles_large, chisel:concrete/yellow/tiles_small, chisel:concrete/yellow/chaotic_medium, chisel:concrete/yellow/chaotic_small, chisel:concrete/yellow/braid, chisel:concrete/yellow/dent, chisel:concrete/yellow/french_1, chisel:concrete/yellow/french_2, chisel:concrete/yellow/jellybean, chisel:concrete/yellow/layers, chisel:concrete/yellow/mosaic, chisel:concrete/yellow/ornate, chisel:concrete/yellow/panel, chisel:concrete/yellow/road, chisel:concrete/yellow/slanted, chisel:concrete/yellow/zag, chisel:concrete/yellow/circular, chisel:concrete/yellow/circularct, chisel:concrete/yellow/weaver, chisel:concrete/yellow/pillar, chisel:concrete/yellow/twisted, chisel:concrete/yellow/prism, chisel:concrete/yellow/cuts, minecraft:yellow_concrete"
"chisel:diorite","chisel:diorite/cracked, chisel:diorite/solid_bricks, chisel:diorite/small_bricks, chisel:diorite/soft_bricks, chisel:diorite/cracked_bricks, chisel:diorite/triple_bricks, chisel:diorite/encased_bricks, chisel:diorite/chaotic_bricks, chisel:diorite/array, chisel:diorite/tiles_medium, chisel:diorite/tiles_large, chisel:diorite/tiles_small, chisel:diorite/chaotic_medium, chisel:diorite/chaotic_small, chisel:diorite/braid, chisel:diorite/dent, chisel:diorite/french_1, chisel:diorite/french_2, chisel:diorite/jellybean, chisel:diorite/layers, chisel:diorite/mosaic, chisel:diorite/ornate, chisel:diorite/panel, chisel:diorite/road, chisel:diorite/slanted, chisel:diorite/zag, chisel:diorite/circular, chisel:diorite/circularct, chisel:diorite/weaver, chisel:diorite/pillar, chisel:diorite/twisted, chisel:diorite/prism, chisel:diorite/cuts, minecraft:polished_diorite, minecraft:diorite"
"chisel:emerald","chisel:emerald/panel, chisel:emerald/panelclassic, chisel:emerald/smooth, chisel:emerald/chunk, chisel:emerald/goldborder, chisel:emerald/zelda, chisel:emerald/cell, chisel:emerald/cellbismuth, chisel:emerald/four, chisel:emerald/fourornate, chisel:emerald/ornate, chisel:emerald/masonryemerald, chisel:emerald/emeraldcircle, chisel:emerald/emeraldprismatic"
"chisel:end_stone","chisel:end_stone/cracked, chisel:end_stone/solid_bricks, chisel:end_stone/small_bricks, chisel:end_stone/soft_bricks, chisel:end_stone/cracked_bricks, chisel:end_stone/triple_bricks, chisel:end_stone/encased_bricks, chisel:end_stone/chaotic_bricks, chisel:end_stone/array, chisel:end_stone/tiles_medium, chisel:end_stone/tiles_large, chisel:end_stone/tiles_small, chisel:end_stone/chaotic_medium, chisel:end_stone/chaotic_small, chisel:end_stone/braid, chisel:end_stone/dent, chisel:end_stone/french_1, chisel:end_stone/french_2, chisel:end_stone/jellybean, chisel:end_stone/layers, chisel:end_stone/mosaic, chisel:end_stone/ornate, chisel:end_stone/panel, chisel:end_stone/road, chisel:end_stone/slanted, chisel:end_stone/zag, chisel:end_stone/circular, chisel:end_stone/circularct, chisel:end_stone/weaver, chisel:end_stone/pillar, chisel:end_stone/twisted, chisel:end_stone/prism, chisel:end_stone/cuts, minecraft:end_stone_bricks"
"chisel:factory","chisel:factory/dots, chisel:factory/rust2, chisel:factory/rust, chisel:factory/platex, chisel:factory/wireframewhite, chisel:factory/wireframe, chisel:factory/hazard, chisel:factory/hazardorange, chisel:factory/circuit, chisel:factory/metalbox, chisel:factory/goldplate, chisel:factory/goldplating, chisel:factory/grinder, chisel:factory/plating, chisel:factory/rustplates, chisel:factory/column, chisel:factory/frameblue, chisel:factory/iceiceice, chisel:factory/tilemosaic, chisel:factory/vent, chisel:factory/wireframeblue"
"chisel:futura","chisel:futura/screen_metallic, chisel:futura/screen_cyan, chisel:futura/controller, chisel:futura/wavy, chisel:futura/controller_purple, chisel:futura/uber_wavy"
"chisel:glowstone","chisel:glowstone/cracked, chisel:glowstone/soft_bricks, chisel:glowstone/cracked_bricks, chisel:glowstone/triple_bricks, chisel:glowstone/encased_bricks, chisel:glowstone/braid, chisel:glowstone/array, chisel:glowstone/tiles_large, chisel:glowstone/tiles_small, chisel:glowstone/chaotic_medium, chisel:glowstone/chaotic_small, chisel:glowstone/dent, chisel:glowstone/french_1, chisel:glowstone/french_2, chisel:glowstone/jellybean, chisel:glowstone/layers, chisel:glowstone/mosaic, chisel:glowstone/ornate, chisel:glowstone/panel, chisel:glowstone/road, chisel:glowstone/slanted, chisel:glowstone/solid_bricks, chisel:glowstone/small_bricks, chisel:glowstone/circular, chisel:glowstone/tiles_medium, chisel:glowstone/pillar, chisel:glowstone/twisted, chisel:glowstone/prism, chisel:glowstone/extra/bismuth, chisel:glowstone/extra/tiles_large_bismuth, chisel:glowstone/extra/tiles_medium_bismuth, chisel:glowstone/extra/neon, chisel:glowstone/extra/neon_panel, minecraft:glowstone"
"chisel:granite","chisel:granite/cracked, chisel:granite/solid_bricks, chisel:granite/small_bricks, chisel:granite/soft_bricks, chisel:granite/cracked_bricks, chisel:granite/triple_bricks, chisel:granite/encased_bricks, chisel:granite/chaotic_bricks, chisel:granite/array, chisel:granite/tiles_medium, chisel:granite/tiles_large, chisel:granite/tiles_small, chisel:granite/chaotic_medium, chisel:granite/chaotic_small, chisel:granite/braid, chisel:granite/dent, chisel:granite/french_1, chisel:granite/french_2, chisel:granite/jellybean, chisel:granite/layers, chisel:granite/mosaic, chisel:granite/ornate, chisel:granite/panel, chisel:granite/road, chisel:granite/slanted, chisel:granite/zag, chisel:granite/circular, chisel:granite/circularct, chisel:granite/weaver, chisel:granite/pillar, chisel:granite/twisted, chisel:granite/prism, chisel:granite/cuts, minecraft:granite, minecraft:polished_granite"
"chisel:laboratory","chisel:laboratory/wallpanel, chisel:laboratory/dottedpanel, chisel:laboratory/roundel, chisel:laboratory/wallvents, chisel:laboratory/largetile, chisel:laboratory/smalltile, chisel:laboratory/floortile, chisel:laboratory/checkertile, chisel:laboratory/fuzzscreen, chisel:laboratory/largesteel, chisel:laboratory/smallsteel, chisel:laboratory/directionleft, chisel:laboratory/directionright, chisel:laboratory/infocon"
"chisel:limestone","chisel:limestone/raw, chisel:limestone/cracked, chisel:limestone/solid_bricks, chisel:limestone/small_bricks, chisel:limestone/soft_bricks, chisel:limestone/cracked_bricks, chisel:limestone/triple_bricks, chisel:limestone/encased_bricks, chisel:limestone/chaotic_bricks, chisel:limestone/array, chisel:limestone/tiles_medium, chisel:limestone/tiles_large, chisel:limestone/tiles_small, chisel:limestone/chaotic_medium, chisel:limestone/chaotic_small, chisel:limestone/braid, chisel:limestone/dent, chisel:limestone/french_1, chisel:limestone/french_2, chisel:limestone/jellybean, chisel:limestone/layers, chisel:limestone/mosaic, chisel:limestone/ornate, chisel:limestone/panel, chisel:limestone/road, chisel:limestone/slanted, chisel:limestone/zag, chisel:limestone/circular, chisel:limestone/circularct, chisel:limestone/weaver, chisel:limestone/pillar, chisel:limestone/twisted, chisel:limestone/prism, chisel:limestone/cuts"
"chisel:marble","chisel:marble/raw, chisel:marble/cracked, chisel:marble/solid_bricks, chisel:marble/small_bricks, chisel:marble/soft_bricks, chisel:marble/cracked_bricks, chisel:marble/triple_bricks, chisel:marble/encased_bricks, chisel:marble/chaotic_bricks, chisel:marble/array, chisel:marble/tiles_medium, chisel:marble/tiles_large, chisel:marble/tiles_small, chisel:marble/chaotic_medium, chisel:marble/chaotic_small, chisel:marble/braid, chisel:marble/dent, chisel:marble/french_1, chisel:marble/french_2, chisel:marble/jellybean, chisel:marble/layers, chisel:marble/mosaic, chisel:marble/ornate, chisel:marble/panel, chisel:marble/road, chisel:marble/slanted, chisel:marble/zag, chisel:marble/circular, chisel:marble/circularct, chisel:marble/weaver, chisel:marble/pillar, chisel:marble/twisted, chisel:marble/prism, chisel:marble/cuts"
"chisel:metals/aluminum","chisel:metals/aluminum/caution, chisel:metals/aluminum/crate, chisel:metals/aluminum/thermal, chisel:metals/aluminum/machine, chisel:metals/aluminum/badgreggy, chisel:metals/aluminum/bolted, chisel:metals/aluminum/scaffold"
"chisel:metals/bronze","chisel:metals/bronze/caution, chisel:metals/bronze/crate, chisel:metals/bronze/thermal, chisel:metals/bronze/machine, chisel:metals/bronze/badgreggy, chisel:metals/bronze/bolted, chisel:metals/bronze/scaffold"
"chisel:mossy_cobblestone","chisel:mossy_cobblestone/cracked, chisel:mossy_cobblestone/solid_bricks, chisel:mossy_cobblestone/small_bricks, chisel:mossy_cobblestone/soft_bricks, chisel:mossy_cobblestone/cracked_bricks, chisel:mossy_cobblestone/triple_bricks, chisel:mossy_cobblestone/encased_bricks, chisel:mossy_cobblestone/chaotic_bricks, chisel:mossy_cobblestone/array, chisel:mossy_cobblestone/tiles_medium, chisel:mossy_cobblestone/tiles_large, chisel:mossy_cobblestone/tiles_small, chisel:mossy_cobblestone/chaotic_medium, chisel:mossy_cobblestone/chaotic_small, chisel:mossy_cobblestone/braid, chisel:mossy_cobblestone/dent, chisel:mossy_cobblestone/french_1, chisel:mossy_cobblestone/french_2, chisel:mossy_cobblestone/jellybean, chisel:mossy_cobblestone/layers, chisel:mossy_cobblestone/mosaic, chisel:mossy_cobblestone/ornate, chisel:mossy_cobblestone/panel, chisel:mossy_cobblestone/road, chisel:mossy_cobblestone/slanted, chisel:mossy_cobblestone/zag, chisel:mossy_cobblestone/circular, chisel:mossy_cobblestone/circularct, chisel:mossy_cobblestone/weaver, chisel:mossy_cobblestone/pillar, chisel:mossy_cobblestone/twisted, chisel:mossy_cobblestone/prism, chisel:mossy_cobblestone/cuts, chisel:mossy_cobblestone/extra/emboss, chisel:mossy_cobblestone/extra/indent, chisel:mossy_cobblestone/extra/marker, minecraft:mossy_cobblestone"
"chisel:planks/acacia","chisel:planks/acacia/large_planks, chisel:planks/acacia/crude_horizontal_planks, chisel:planks/acacia/vertical_planks, chisel:planks/acacia/crude_vertical_planks, chisel:planks/acacia/encased_planks, chisel:planks/acacia/encased_large_planks, chisel:planks/acacia/braced_planks, chisel:planks/acacia/shipping_crate, chisel:planks/acacia/paneling, chisel:planks/acacia/crude_paneling, chisel:planks/acacia/stacked, chisel:planks/acacia/smooth, chisel:planks/acacia/encased_smooth, chisel:planks/acacia/braid, chisel:planks/acacia/log_cabin, minecraft:acacia_planks"
"chisel:planks/birch","chisel:planks/birch/large_planks, chisel:planks/birch/crude_horizontal_planks, chisel:planks/birch/vertical_planks, chisel:planks/birch/crude_vertical_planks, chisel:planks/birch/encased_planks, chisel:planks/birch/encased_large_planks, chisel:planks/birch/braced_planks, chisel:planks/birch/shipping_crate, chisel:planks/birch/paneling, chisel:planks/birch/crude_paneling, chisel:planks/birch/stacked, chisel:planks/birch/smooth, chisel:planks/birch/encased_smooth, chisel:planks/birch/braid, chisel:planks/birch/log_cabin, minecraft:birch_planks"
"chisel:planks/dark_oak","chisel:planks/dark_oak/large_planks, chisel:planks/dark_oak/crude_horizontal_planks, chisel:planks/dark_oak/vertical_planks, chisel:planks/dark_oak/crude_vertical_planks, chisel:planks/dark_oak/encased_planks, chisel:planks/dark_oak/encased_large_planks, chisel:planks/dark_oak/braced_planks, chisel:planks/dark_oak/shipping_crate, chisel:planks/dark_oak/paneling, chisel:planks/dark_oak/crude_paneling, chisel:planks/dark_oak/stacked, chisel:planks/dark_oak/smooth, chisel:planks/dark_oak/encased_smooth, chisel:planks/dark_oak/braid, chisel:planks/dark_oak/log_cabin, minecraft:dark_oak_planks"
"chisel:planks/jungle","chisel:planks/jungle/large_planks, chisel:planks/jungle/crude_horizontal_planks, chisel:planks/jungle/vertical_planks, chisel:planks/jungle/crude_vertical_planks, chisel:planks/jungle/encased_planks, chisel:planks/jungle/encased_large_planks, chisel:planks/jungle/braced_planks, chisel:planks/jungle/shipping_crate, chisel:planks/jungle/paneling, chisel:planks/jungle/crude_paneling, chisel:planks/jungle/stacked, chisel:planks/jungle/smooth, chisel:planks/jungle/encased_smooth, chisel:planks/jungle/braid, chisel:planks/jungle/log_cabin, minecraft:jungle_planks"
"chisel:planks/oak","chisel:planks/oak/large_planks, chisel:planks/oak/crude_horizontal_planks, chisel:planks/oak/vertical_planks, chisel:planks/oak/crude_vertical_planks, chisel:planks/oak/encased_planks, chisel:planks/oak/encased_large_planks, chisel:planks/oak/braced_planks, chisel:planks/oak/shipping_crate, chisel:planks/oak/paneling, chisel:planks/oak/crude_paneling, chisel:planks/oak/stacked, chisel:planks/oak/smooth, chisel:planks/oak/encased_smooth, chisel:planks/oak/braid, chisel:planks/oak/log_cabin, minecraft:oak_planks"
"chisel:planks/spruce","chisel:planks/spruce/large_planks, chisel:planks/spruce/crude_horizontal_planks, chisel:planks/spruce/vertical_planks, chisel:planks/spruce/crude_vertical_planks, chisel:planks/spruce/encased_planks, chisel:planks/spruce/encased_large_planks, chisel:planks/spruce/braced_planks, chisel:planks/spruce/shipping_crate, chisel:planks/spruce/paneling, chisel:planks/spruce/crude_paneling, chisel:planks/spruce/stacked, chisel:planks/spruce/smooth, chisel:planks/spruce/encased_smooth, chisel:planks/spruce/braid, chisel:planks/spruce/log_cabin, minecraft:spruce_planks"
"chisel:prismarine","chisel:prismarine/cracked, chisel:prismarine/solid_bricks, chisel:prismarine/small_bricks, chisel:prismarine/soft_bricks, chisel:prismarine/cracked_bricks, chisel:prismarine/triple_bricks, chisel:prismarine/encased_bricks, chisel:prismarine/chaotic_bricks, chisel:prismarine/array, chisel:prismarine/tiles_medium, chisel:prismarine/tiles_large, chisel:prismarine/tiles_small, chisel:prismarine/chaotic_medium, chisel:prismarine/chaotic_small, chisel:prismarine/braid, chisel:prismarine/dent, chisel:prismarine/french_1, chisel:prismarine/french_2, chisel:prismarine/jellybean, chisel:prismarine/layers, chisel:prismarine/mosaic, chisel:prismarine/ornate, chisel:prismarine/panel, chisel:prismarine/road, chisel:prismarine/slanted, chisel:prismarine/zag, chisel:prismarine/circular, chisel:prismarine/circularct, chisel:prismarine/weaver, chisel:prismarine/pillar, chisel:prismarine/twisted, chisel:prismarine/prism, chisel:prismarine/cuts, minecraft:prismarine, minecraft:dark_prismarine, minecraft:prismarine_bricks"
"chisel:purpur","chisel:purpur/cracked, chisel:purpur/solid_bricks, chisel:purpur/small_bricks, chisel:purpur/soft_bricks, chisel:purpur/cracked_bricks, chisel:purpur/triple_bricks, chisel:purpur/encased_bricks, chisel:purpur/chaotic_bricks, chisel:purpur/array, chisel:purpur/tiles_medium, chisel:purpur/tiles_large, chisel:purpur/tiles_small, chisel:purpur/chaotic_medium, chisel:purpur/chaotic_small, chisel:purpur/braid, chisel:purpur/dent, chisel:purpur/french_1, chisel:purpur/french_2, chisel:purpur/jellybean, chisel:purpur/layers, chisel:purpur/mosaic, chisel:purpur/ornate, chisel:purpur/panel, chisel:purpur/road, chisel:purpur/slanted, chisel:purpur/zag, chisel:purpur/circular, chisel:purpur/circularct, chisel:purpur/weaver, chisel:purpur/pillar, chisel:purpur/twisted, chisel:purpur/prism, chisel:purpur/cuts, minecraft:purpur_block, minecraft:purpur_pillar"
"chisel:quartz","chisel:quartz/cracked, chisel:quartz/solid_bricks, chisel:quartz/small_bricks, chisel:quartz/soft_bricks, chisel:quartz/cracked_bricks, chisel:quartz/triple_bricks, chisel:quartz/encased_bricks, chisel:quartz/chaotic_bricks, chisel:quartz/array, chisel:quartz/tiles_medium, chisel:quartz/tiles_large, chisel:quartz/tiles_small, chisel:quartz/chaotic_medium, chisel:quartz/chaotic_small, chisel:quartz/braid, chisel:quartz/dent, chisel:quartz/french_1, chisel:quartz/french_2, chisel:quartz/jellybean, chisel:quartz/layers, chisel:quartz/mosaic, chisel:quartz/ornate, chisel:quartz/panel, chisel:quartz/road, chisel:quartz/slanted, chisel:quartz/zag, chisel:quartz/circular, chisel:quartz/circularct, chisel:quartz/weaver, chisel:quartz/pillar, chisel:quartz/twisted, chisel:quartz/prism, chisel:quartz/cuts, minecraft:chiseled_quartz_block, minecraft:quartz_pillar, minecraft:smooth_quartz"
"chisel:red_sandstone","chisel:red_sandstone/cracked, chisel:red_sandstone/solid_bricks, chisel:red_sandstone/small_bricks, chisel:red_sandstone/soft_bricks, chisel:red_sandstone/cracked_bricks, chisel:red_sandstone/triple_bricks, chisel:red_sandstone/encased_bricks, chisel:red_sandstone/chaotic_bricks, chisel:red_sandstone/array, chisel:red_sandstone/tiles_medium, chisel:red_sandstone/tiles_large, chisel:red_sandstone/tiles_small, chisel:red_sandstone/chaotic_medium, chisel:red_sandstone/chaotic_small, chisel:red_sandstone/braid, chisel:red_sandstone/dent, chisel:red_sandstone/french_1, chisel:red_sandstone/french_2, chisel:red_sandstone/jellybean, chisel:red_sandstone/layers, chisel:red_sandstone/mosaic, chisel:red_sandstone/ornate, chisel:red_sandstone/panel, chisel:red_sandstone/road, chisel:red_sandstone/slanted, chisel:red_sandstone/zag, chisel:red_sandstone/circular, chisel:red_sandstone/circularct, chisel:red_sandstone/weaver, chisel:red_sandstone/pillar, chisel:red_sandstone/twisted, chisel:red_sandstone/prism, chisel:red_sandstone/cuts, chisel:red_sandstone/extra/bevel_skeleton, chisel:red_sandstone/extra/glyphs, chisel:red_sandstone/extra/small, minecraft:cut_red_sandstone, minecraft:smooth_red_sandstone, minecraft:red_sandstone, minecraft:chiseled_red_sandstone"
"chisel:redstone","chisel:redstone/cracked, chisel:redstone/solid_bricks, chisel:redstone/small_bricks, chisel:redstone/soft_bricks, chisel:redstone/cracked_bricks, chisel:redstone/triple_bricks, chisel:redstone/encased_bricks, chisel:redstone/array, chisel:redstone/tiles_medium, chisel:redstone/tiles_large, chisel:redstone/tiles_small, chisel:redstone/chaotic_medium, chisel:redstone/chaotic_small, chisel:redstone/braid, chisel:redstone/dent, chisel:redstone/french_1, chisel:redstone/french_2, chisel:redstone/jellybean, chisel:redstone/layers, chisel:redstone/mosaic, chisel:redstone/ornate, chisel:redstone/panel, chisel:redstone/road, chisel:redstone/slanted, chisel:redstone/circular, chisel:redstone/pillar, chisel:redstone/twisted, chisel:redstone/prism"
